index,City,Date,Card Type,Category,Gender,Amount
2674,Delhi,2014-10-02,Signature,Fuel,Female,297964
2675,Delhi,2014-03-22,Signature,Fuel,Female,135469
2676,Delhi,2013-10-04,Signature,Fuel,Female,298983
2677,Ahmedabad,2013-10-15,Signature,Fuel,Male,55729
2678,Greater Mumbai,2013-11-28,Silver,Fuel,Female,152278
2679,Ahmedabad,2013-11-22,Signature,Fuel,Female,223055
2680,Ahmedabad,2015-04-29,Platinum,Fuel,Female,291811
2681,Bengaluru,2014-08-20,Platinum,Fuel,Male,250917
2682,Delhi,2014-10-30,Silver,Fuel,Female,206113
2683,Ahmedabad,2015-03-17,Silver,Fuel,Female,117475
2684,Delhi,2014-06-09,Signature,Fuel,Male,96379
2685,Bengaluru,2015-03-20,Signature,Fuel,Female,120936
2686,Greater Mumbai,2014-12-22,Gold,Fuel,Male,13835
2687,Ahmedabad,2014-04-20,Platinum,Bills,Male,109997
2688,Ahmedabad,2014-01-13,Gold,Bills,Male,247019
2689,Greater Mumbai,2013-11-01,Silver,Grocery,Female,148013
2690,Bengaluru,2015-01-09,Signature,Food,Male,257741
2691,Ahmedabad,2015-01-17,Silver,Fuel,Female,111015
2692,Delhi,2014-05-22,Platinum,Entertainment,Female,11631
2693,Greater Mumbai,2014-08-14,Silver,Food,Male,9128
2694,Bengaluru,2015-01-25,Gold,Fuel,Female,290043
2695,Bengaluru,2013-11-26,Silver,Entertainment,Male,164551
2696,Greater Mumbai,2014-11-05,Platinum,Bills,Female,227195
2697,Delhi,2015-05-03,Signature,Fuel,Male,180264
2698,Greater Mumbai,2013-12-27,Platinum,Entertainment,Male,265531
2699,Bengaluru,2014-06-25,Gold,Grocery,Female,299646
2700,Bengaluru,2014-01-17,Signature,Food,Male,89816
2701,Bengaluru,2015-02-11,Gold,Food,Female,48145
2702,Delhi,2013-12-31,Signature,Food,Male,247438
2703,Bengaluru,2015-01-25,Platinum,Grocery,Male,275057
2704,Greater Mumbai,2013-10-25,Silver,Food,Female,296385
2705,Delhi,2015-04-13,Platinum,Entertainment,Female,51330
2706,Greater Mumbai,2014-11-30,Platinum,Food,Male,88755
2707,Ahmedabad,2013-11-13,Silver,Grocery,Male,204415
2708,Bengaluru,2014-09-11,Gold,Entertainment,Male,296195
2709,Greater Mumbai,2014-01-26,Signature,Fuel,Female,127251
2710,Greater Mumbai,2014-03-09,Platinum,Grocery,Male,108713
2711,Bengaluru,2014-11-01,Silver,Fuel,Female,125542
2712,Bengaluru,2015-02-16,Signature,Entertainment,Male,193985
2713,Ahmedabad,2015-02-18,Platinum,Bills,Male,117441
2714,Greater Mumbai,2015-05-21,Gold,Bills,Female,282591
2715,Delhi,2014-04-25,Silver,Bills,Male,199280
2716,Delhi,2015-01-22,Signature,Grocery,Male,29059
2717,Greater Mumbai,2013-12-13,Signature,Grocery,Male,256857
2718,Delhi,2015-01-12,Gold,Bills,Female,55505
2719,Ahmedabad,2015-01-05,Signature,Food,Male,159559
2720,Ahmedabad,2014-03-08,Platinum,Fuel,Female,162915
2721,Delhi,2013-11-15,Signature,Bills,Male,50110
2722,Greater Mumbai,2013-11-18,Platinum,Food,Female,256707
2723,Bengaluru,2013-12-06,Platinum,Grocery,Male,76757
2724,Ahmedabad,2015-01-28,Platinum,Food,Female,288042
2725,Greater Mumbai,2014-12-27,Gold,Bills,Male,241788
2726,Ahmedabad,2014-09-21,Gold,Fuel,Female,17222
2727,Bengaluru,2014-03-11,Gold,Entertainment,Female,169743
2728,Greater Mumbai,2015-03-25,Gold,Food,Female,175643
2729,Delhi,2014-10-26,Silver,Bills,Male,74766
2730,Greater Mumbai,2014-11-02,Platinum,Bills,Male,132633
2731,Delhi,2014-07-08,Gold,Entertainment,Male,219572
2732,Delhi,2015-03-13,Gold,Food,Female,64944
2733,Ahmedabad,2014-10-29,Signature,Entertainment,Male,204424
2734,Ahmedabad,2014-05-23,Gold,Grocery,Female,107931
2735,Ahmedabad,2014-03-31,Silver,Food,Male,269855
2736,Greater Mumbai,2013-11-15,Signature,Entertainment,Female,163790
2737,Greater Mumbai,2014-12-04,Gold,Food,Male,161616
2738,Bengaluru,2013-11-22,Silver,Food,Male,192864
2739,Bengaluru,2015-01-11,Silver,Bills,Female,175646
2740,Delhi,2013-12-17,Platinum,Bills,Female,52788
2741,Greater Mumbai,2014-05-05,Silver,Food,Male,159874
2742,Greater Mumbai,2013-11-29,Gold,Fuel,Female,157154
2743,Bengaluru,2014-03-18,Silver,Food,Female,5482
2744,Bengaluru,2014-03-04,Silver,Fuel,Male,196038
2745,Ahmedabad,2014-12-21,Signature,Bills,Male,239284
2746,Greater Mumbai,2014-11-27,Platinum,Entertainment,Female,147137
2747,Delhi,2014-02-06,Silver,Food,Male,42655
2748,Greater Mumbai,2014-07-02,Signature,Fuel,Male,298490
2749,Greater Mumbai,2014-01-06,Silver,Entertainment,Female,120368
2750,Bengaluru,2015-01-28,Gold,Entertainment,Male,221098
2751,Greater Mumbai,2015-02-24,Signature,Entertainment,Male,260667
2752,Greater Mumbai,2015-05-11,Silver,Entertainment,Female,215804
2753,Bengaluru,2015-03-25,Silver,Fuel,Female,96551
2754,Bengaluru,2015-04-24,Platinum,Grocery,Female,110047
2755,Bengaluru,2015-05-23,Signature,Entertainment,Female,211778
2756,Delhi,2014-05-28,Gold,Entertainment,Male,188921
2757,Bengaluru,2013-10-24,Silver,Bills,Female,73331
2758,Bengaluru,2014-05-16,Silver,Bills,Female,65766
2759,Bengaluru,2014-11-17,Gold,Entertainment,Male,69950
2760,Delhi,2015-01-10,Signature,Grocery,Female,186422
2761,Ahmedabad,2013-11-25,Gold,Entertainment,Male,239719
2762,Delhi,2014-09-18,Signature,Food,Female,164220
2763,Bengaluru,2013-10-18,Silver,Entertainment,Male,120914
2764,Bengaluru,2015-03-05,Silver,Bills,Male,202099
2765,Delhi,2015-03-14,Signature,Food,Male,210102
2766,Greater Mumbai,2015-02-02,Platinum,Grocery,Male,140989
2767,Ahmedabad,2013-10-18,Platinum,Grocery,Female,139167
2768,Bengaluru,2015-02-22,Silver,Grocery,Male,192443
2769,Bengaluru,2014-12-15,Gold,Grocery,Female,227409
2770,Greater Mumbai,2015-05-12,Platinum,Fuel,Male,277955
2771,Bengaluru,2013-11-07,Platinum,Bills,Female,62196
2772,Greater Mumbai,2014-09-05,Silver,Fuel,Male,251022
2773,Bengaluru,2015-01-16,Gold,Bills,Female,167044
2774,Delhi,2015-04-09,Signature,Grocery,Male,257743
2775,Delhi,2014-12-27,Platinum,Entertainment,Female,176982
2776,Delhi,2014-09-18,Gold,Entertainment,Male,256116
2777,Bengaluru,2014-05-20,Platinum,Food,Female,261710
2778,Greater Mumbai,2013-11-17,Platinum,Entertainment,Male,289444
2779,Delhi,2014-06-03,Gold,Bills,Male,272172
2780,Bengaluru,2015-02-23,Signature,Fuel,Female,298658
2781,Bengaluru,2015-01-07,Signature,Fuel,Female,193569
2782,Delhi,2014-07-16,Platinum,Bills,Male,108597
2783,Ahmedabad,2014-01-15,Platinum,Food,Female,126260
2784,Bengaluru,2014-10-22,Gold,Entertainment,Male,287663
2785,Greater Mumbai,2014-10-16,Signature,Grocery,Male,15555
2786,Ahmedabad,2014-03-09,Signature,Food,Female,200963
2787,Ahmedabad,2014-07-12,Platinum,Fuel,Female,74080
2788,Greater Mumbai,2014-04-15,Platinum,Bills,Female,276680
2789,Bengaluru,2014-03-05,Gold,Grocery,Male,247639
2790,Greater Mumbai,2013-12-31,Signature,Entertainment,Female,114228
2791,Delhi,2014-06-14,Gold,Food,Male,275614
2792,Greater Mumbai,2014-07-26,Gold,Grocery,Male,266128
2793,Bengaluru,2014-08-17,Platinum,Bills,Male,244187
2794,Ahmedabad,2015-01-27,Silver,Fuel,Male,2796
2795,Bengaluru,2014-12-19,Gold,Fuel,Male,10499
2796,Ahmedabad,2014-12-29,Gold,Grocery,Male,148104
2797,Ahmedabad,2013-11-11,Signature,Food,Male,236181
2798,Greater Mumbai,2015-01-29,Platinum,Entertainment,Female,162995
2799,Delhi,2014-07-31,Platinum,Fuel,Male,65124
2800,Delhi,2015-03-05,Silver,Fuel,Female,265034
2801,Bengaluru,2014-06-16,Silver,Bills,Female,224507
2802,Ahmedabad,2015-04-12,Platinum,Grocery,Male,263963
2803,Delhi,2015-04-20,Gold,Entertainment,Female,240343
2804,Ahmedabad,2014-06-04,Signature,Food,Male,217825
2805,Greater Mumbai,2014-05-22,Signature,Fuel,Male,59880
2806,Bengaluru,2014-11-30,Gold,Bills,Female,262773
2807,Delhi,2014-01-29,Silver,Entertainment,Female,9503
2808,Delhi,2014-04-05,Platinum,Entertainment,Male,93447
2809,Ahmedabad,2014-05-20,Gold,Food,Male,4882
2810,Greater Mumbai,2014-07-18,Silver,Fuel,Female,15541
2811,Delhi,2013-11-27,Platinum,Grocery,Male,167142
2812,Ahmedabad,2014-07-20,Gold,Grocery,Male,70267
2813,Delhi,2015-01-06,Silver,Food,Male,221745
2814,Bengaluru,2015-04-27,Gold,Grocery,Male,297452
2815,Delhi,2013-12-16,Gold,Food,Female,41669
2816,Delhi,2013-11-05,Signature,Grocery,Male,79234
2817,Delhi,2014-11-05,Silver,Food,Male,237680
2818,Greater Mumbai,2015-03-14,Silver,Entertainment,Female,125663
2819,Greater Mumbai,2014-08-08,Gold,Food,Female,128839
2820,Delhi,2015-05-10,Signature,Bills,Male,265126
2821,Ahmedabad,2014-04-16,Silver,Food,Male,157833
2822,Ahmedabad,2015-02-10,Signature,Bills,Female,220991
2823,Greater Mumbai,2014-12-04,Signature,Bills,Male,225176
2824,Greater Mumbai,2014-04-03,Gold,Food,Male,119583
2825,Greater Mumbai,2013-10-15,Signature,Food,Male,35155
2826,Greater Mumbai,2015-02-21,Silver,Bills,Male,176298
2827,Greater Mumbai,2014-09-05,Gold,Bills,Female,168927
2828,Ahmedabad,2014-03-18,Signature,Grocery,Female,77131
2829,Delhi,2014-01-20,Signature,Entertainment,Male,203480
2830,Greater Mumbai,2015-04-09,Silver,Entertainment,Male,23089
2831,Ahmedabad,2015-02-15,Signature,Food,Female,154671
2832,Delhi,2014-10-18,Gold,Fuel,Female,47677
2833,Bengaluru,2015-02-26,Silver,Fuel,Female,50870
2834,Greater Mumbai,2015-04-10,Silver,Fuel,Female,120226
2835,Greater Mumbai,2014-08-06,Platinum,Entertainment,Female,100781
2836,Greater Mumbai,2014-06-23,Silver,Entertainment,Female,19392
2837,Delhi,2015-01-18,Platinum,Entertainment,Female,269169
2838,Delhi,2013-12-27,Platinum,Food,Female,199816
2839,Bengaluru,2013-11-14,Signature,Bills,Female,107325
2840,Bengaluru,2014-01-27,Gold,Food,Female,290435
2841,Bengaluru,2013-12-01,Silver,Fuel,Male,79875
2842,Greater Mumbai,2013-10-07,Platinum,Bills,Female,212803
2843,Bengaluru,2013-11-04,Gold,Grocery,Male,42697
2844,Ahmedabad,2015-03-02,Platinum,Fuel,Female,202077
2845,Ahmedabad,2014-10-14,Silver,Entertainment,Male,134634
2846,Ahmedabad,2015-01-26,Silver,Fuel,Female,175333
2847,Bengaluru,2015-05-07,Silver,Grocery,Male,164063
2848,Bengaluru,2014-08-09,Gold,Food,Female,118491
2849,Bengaluru,2014-11-19,Silver,Grocery,Female,286456
2850,Delhi,2014-05-21,Gold,Fuel,Male,206972
2851,Bengaluru,2014-05-05,Platinum,Bills,Male,131247
2852,Greater Mumbai,2014-12-08,Silver,Grocery,Female,149007
2853,Bengaluru,2014-01-04,Platinum,Fuel,Female,65269
2854,Greater Mumbai,2013-12-10,Signature,Fuel,Female,253895
2855,Bengaluru,2014-02-01,Gold,Bills,Male,181864
2856,Ahmedabad,2014-11-03,Silver,Entertainment,Male,214376
2857,Delhi,2014-03-19,Signature,Grocery,Female,59308
2858,Greater Mumbai,2013-10-14,Gold,Bills,Female,16263
2859,Greater Mumbai,2014-01-16,Signature,Grocery,Female,230547
2860,Ahmedabad,2014-01-26,Platinum,Bills,Male,44960
2861,Bengaluru,2014-09-25,Gold,Food,Female,241639
2862,Bengaluru,2014-12-11,Signature,Grocery,Female,47839
2863,Ahmedabad,2013-10-24,Silver,Entertainment,Female,261231
2864,Bengaluru,2015-03-12,Gold,Bills,Female,105952
2865,Ahmedabad,2015-01-22,Silver,Fuel,Male,40264
2866,Bengaluru,2014-07-19,Platinum,Grocery,Male,220568
2867,Greater Mumbai,2015-02-23,Gold,Grocery,Male,37547
2868,Bengaluru,2014-08-20,Platinum,Bills,Female,2119
2869,Greater Mumbai,2013-10-12,Platinum,Grocery,Male,26699
2870,Delhi,2014-11-08,Silver,Grocery,Male,180103
2871,Ahmedabad,2015-05-15,Silver,Bills,Female,171452
2872,Greater Mumbai,2013-10-22,Platinum,Bills,Male,190123
2873,Ahmedabad,2014-05-30,Silver,Fuel,Female,84429
2874,Delhi,2013-12-09,Signature,Grocery,Female,54150
2875,Greater Mumbai,2014-06-20,Silver,Fuel,Male,294587
2876,Greater Mumbai,2013-11-13,Silver,Entertainment,Male,260146
2877,Bengaluru,2014-09-03,Platinum,Grocery,Male,152088
2878,Delhi,2015-04-30,Platinum,Bills,Female,42445
2879,Greater Mumbai,2014-02-11,Silver,Grocery,Female,283335
2880,Bengaluru,2013-12-31,Gold,Food,Female,290390
2881,Bengaluru,2013-12-19,Platinum,Bills,Female,213620
2882,Ahmedabad,2013-12-21,Signature,Grocery,Female,81138
2883,Ahmedabad,2014-06-26,Platinum,Entertainment,Female,168482
2884,Bengaluru,2015-03-14,Platinum,Entertainment,Female,290859
2885,Bengaluru,2013-10-26,Silver,Grocery,Male,248719
2886,Ahmedabad,2015-04-27,Silver,Food,Male,144627
2887,Ahmedabad,2014-08-24,Gold,Food,Male,297849
2888,Greater Mumbai,2014-11-06,Platinum,Food,Female,42955
2889,Ahmedabad,2014-12-07,Platinum,Grocery,Female,271539
2890,Delhi,2015-03-12,Platinum,Fuel,Male,158360
2891,Delhi,2015-02-16,Silver,Food,Male,163169
2892,Delhi,2014-05-16,Platinum,Bills,Female,230157
2893,Ahmedabad,2015-01-14,Silver,Grocery,Male,192173
2894,Bengaluru,2014-02-09,Signature,Grocery,Female,93874
2895,Ahmedabad,2015-03-05,Platinum,Fuel,Male,219107
2896,Delhi,2014-05-16,Platinum,Food,Female,203363
2897,Greater Mumbai,2014-10-19,Platinum,Fuel,Male,295181
2898,Greater Mumbai,2014-09-05,Gold,Bills,Male,87122
2899,Greater Mumbai,2014-08-26,Platinum,Food,Male,222272
2900,Ahmedabad,2014-03-08,Gold,Bills,Female,15357
2901,Bengaluru,2013-10-07,Gold,Bills,Female,186328
2902,Delhi,2014-12-12,Gold,Fuel,Male,99863
2903,Bengaluru,2015-04-08,Gold,Grocery,Male,142220
2904,Ahmedabad,2014-07-30,Gold,Food,Male,275334
2905,Greater Mumbai,2014-09-01,Silver,Fuel,Female,245883
2906,Bengaluru,2014-03-13,Silver,Food,Female,15986
2907,Ahmedabad,2014-08-04,Platinum,Entertainment,Female,234156
2908,Ahmedabad,2014-10-04,Silver,Entertainment,Female,193288
2909,Ahmedabad,2015-03-04,Gold,Entertainment,Female,58839
2910,Delhi,2014-01-27,Silver,Food,Male,240737
2911,Greater Mumbai,2015-02-28,Signature,Entertainment,Male,289326
2912,Delhi,2014-03-01,Signature,Food,Female,96328
2913,Ahmedabad,2014-02-17,Gold,Grocery,Female,247435
2914,Bengaluru,2015-05-25,Silver,Grocery,Male,206108
2915,Bengaluru,2014-07-25,Signature,Entertainment,Male,104375
2916,Greater Mumbai,2013-12-01,Gold,Entertainment,Male,160114
2917,Delhi,2015-02-17,Silver,Fuel,Female,291382
2918,Greater Mumbai,2014-10-06,Gold,Entertainment,Female,113496
2919,Delhi,2014-10-28,Silver,Entertainment,Female,252139
2920,Delhi,2014-09-28,Signature,Food,Female,26552
2921,Delhi,2014-10-19,Silver,Food,Male,142566
2922,Ahmedabad,2014-01-20,Silver,Food,Male,259325
2923,Bengaluru,2015-05-17,Silver,Fuel,Female,112053
2924,Bengaluru,2015-04-08,Gold,Entertainment,Male,209198
2925,Greater Mumbai,2014-10-02,Signature,Fuel,Female,101193
2926,Delhi,2015-03-07,Signature,Bills,Male,157676
2927,Delhi,2015-05-24,Platinum,Grocery,Male,286018
2928,Delhi,2014-04-20,Signature,Fuel,Female,56401
2929,Bengaluru,2015-01-25,Signature,Grocery,Female,121401
2930,Bengaluru,2015-05-11,Gold,Grocery,Female,107424
2931,Delhi,2014-11-02,Platinum,Food,Female,116464
2932,Ahmedabad,2014-11-19,Gold,Bills,Female,49468
2933,Bengaluru,2015-02-03,Signature,Entertainment,Male,85645
2934,Delhi,2015-03-11,Signature,Fuel,Male,120886
2935,Ahmedabad,2015-01-26,Platinum,Grocery,Male,46402
2936,Delhi,2014-05-21,Silver,Bills,Female,164016
2937,Ahmedabad,2013-11-15,Platinum,Entertainment,Male,104541
2938,Bengaluru,2014-05-30,Gold,Entertainment,Female,201673
2939,Ahmedabad,2014-06-08,Platinum,Fuel,Female,128562
2940,Bengaluru,2014-05-18,Gold,Food,Female,127105
2941,Greater Mumbai,2014-03-13,Silver,Grocery,Male,134244
2942,Ahmedabad,2015-05-02,Platinum,Grocery,Female,281294
2943,Ahmedabad,2014-09-05,Platinum,Entertainment,Male,265186
2944,Greater Mumbai,2015-03-26,Silver,Entertainment,Male,143975
2945,Bengaluru,2013-12-15,Signature,Fuel,Male,31004
2946,Greater Mumbai,2015-02-06,Gold,Entertainment,Male,289936
2947,Bengaluru,2014-09-17,Gold,Entertainment,Male,209329
2948,Bengaluru,2014-11-20,Signature,Grocery,Male,143274
2949,Bengaluru,2013-11-16,Platinum,Bills,Male,119631
2950,Bengaluru,2014-05-10,Silver,Grocery,Female,15157
2951,Greater Mumbai,2014-02-04,Gold,Fuel,Female,2416
2952,Ahmedabad,2014-04-23,Platinum,Entertainment,Male,147691
2953,Ahmedabad,2014-07-02,Silver,Grocery,Female,297434
2954,Delhi,2013-11-16,Platinum,Grocery,Male,244144
2955,Delhi,2014-01-12,Signature,Bills,Female,17715
2956,Bengaluru,2014-03-15,Signature,Food,Male,168822
2957,Ahmedabad,2014-04-27,Silver,Fuel,Male,236286
2958,Greater Mumbai,2014-12-06,Silver,Grocery,Male,248765
2959,Bengaluru,2015-04-07,Silver,Fuel,Female,276934
2960,Greater Mumbai,2014-06-12,Gold,Grocery,Male,161595
2961,Ahmedabad,2013-12-11,Platinum,Fuel,Male,282556
2962,Bengaluru,2015-05-12,Platinum,Grocery,Female,62646
2963,Ahmedabad,2014-06-02,Platinum,Food,Male,127088
2964,Bengaluru,2014-01-27,Signature,Bills,Male,219026
2965,Ahmedabad,2014-04-19,Signature,Entertainment,Male,50735
2966,Delhi,2014-03-31,Platinum,Grocery,Male,208930
2967,Ahmedabad,2014-11-07,Gold,Grocery,Male,254967
2968,Ahmedabad,2015-05-23,Gold,Bills,Female,171642
2969,Ahmedabad,2014-08-17,Silver,Food,Male,217636
2970,Greater Mumbai,2014-10-07,Silver,Fuel,Male,263875
2971,Ahmedabad,2014-12-15,Gold,Entertainment,Female,238303
2972,Greater Mumbai,2015-01-10,Gold,Grocery,Female,286393
2973,Greater Mumbai,2015-01-03,Platinum,Grocery,Male,263990
2974,Ahmedabad,2013-10-29,Signature,Entertainment,Female,83901
2975,Greater Mumbai,2014-01-02,Signature,Entertainment,Female,140666
2976,Delhi,2014-08-18,Signature,Food,Male,67899
2977,Delhi,2013-10-23,Silver,Bills,Male,155862
2978,Greater Mumbai,2013-11-04,Platinum,Bills,Female,3670
2979,Greater Mumbai,2014-05-26,Gold,Grocery,Male,157102
2980,Bengaluru,2013-10-05,Platinum,Food,Male,183626
2981,Bengaluru,2014-05-08,Signature,Bills,Male,30710
2982,Greater Mumbai,2014-12-05,Gold,Grocery,Female,109664
2983,Bengaluru,2014-06-07,Silver,Food,Female,175746
2984,Bengaluru,2014-04-18,Platinum,Fuel,Male,281899
2985,Greater Mumbai,2014-05-03,Gold,Fuel,Male,238770
2986,Ahmedabad,2014-05-07,Signature,Grocery,Male,199635
2987,Greater Mumbai,2014-06-08,Signature,Grocery,Male,173060
2988,Delhi,2013-11-05,Silver,Grocery,Female,279342
2989,Bengaluru,2014-12-18,Silver,Bills,Male,185073
2990,Bengaluru,2014-09-03,Gold,Food,Female,183028
2991,Ahmedabad,2015-02-25,Silver,Grocery,Female,159278
2992,Delhi,2014-06-18,Signature,Bills,Female,118968
2993,Bengaluru,2014-02-17,Signature,Entertainment,Female,223493
2994,Bengaluru,2013-12-15,Gold,Bills,Male,207537
2995,Ahmedabad,2015-05-01,Platinum,Fuel,Female,39734
2996,Delhi,2015-01-27,Signature,Fuel,Female,183852
2997,Delhi,2014-05-22,Gold,Grocery,Female,3681
2998,Bengaluru,2015-05-09,Platinum,Entertainment,Female,277307
2999,Delhi,2014-04-15,Silver,Entertainment,Female,85608
3000,Bengaluru,2013-10-08,Gold,Fuel,Male,156732
3001,Greater Mumbai,2013-10-17,Signature,Bills,Male,7795
3002,Delhi,2015-02-19,Platinum,Bills,Female,60206
3003,Delhi,2015-02-18,Gold,Grocery,Female,177311
3004,Greater Mumbai,2013-10-25,Signature,Bills,Female,70885
3005,Greater Mumbai,2015-05-16,Gold,Grocery,Female,228369
3006,Delhi,2015-01-06,Gold,Grocery,Male,90914
3007,Ahmedabad,2014-05-22,Silver,Entertainment,Male,280442
3008,Delhi,2014-11-23,Gold,Bills,Male,128207
3009,Greater Mumbai,2014-03-27,Signature,Food,Female,108424
3010,Ahmedabad,2015-01-17,Signature,Food,Female,110328
3011,Bengaluru,2013-10-23,Platinum,Grocery,Female,231686
3012,Bengaluru,2015-03-10,Gold,Fuel,Female,291321
3013,Bengaluru,2015-02-13,Platinum,Food,Male,229882
3014,Ahmedabad,2014-05-31,Gold,Bills,Female,141607
3015,Delhi,2015-03-18,Silver,Entertainment,Female,169602
3016,Delhi,2014-06-11,Platinum,Grocery,Male,21444
3017,Delhi,2014-06-02,Signature,Entertainment,Female,150902
3018,Ahmedabad,2015-02-21,Signature,Food,Male,150275
3019,Bengaluru,2015-02-17,Gold,Fuel,Female,94017
3020,Greater Mumbai,2015-01-06,Gold,Entertainment,Male,259231
3021,Delhi,2014-05-29,Signature,Bills,Female,58629
3022,Bengaluru,2014-05-30,Silver,Fuel,Male,70532
3023,Delhi,2014-01-24,Gold,Entertainment,Male,202218
3024,Bengaluru,2014-12-10,Signature,Entertainment,Male,162448
3025,Delhi,2015-03-29,Silver,Grocery,Female,2178
3026,Bengaluru,2014-09-20,Silver,Fuel,Male,163153
3027,Ahmedabad,2013-11-24,Gold,Bills,Female,147617
3028,Greater Mumbai,2013-10-11,Platinum,Entertainment,Male,122576
3029,Greater Mumbai,2014-09-18,Signature,Entertainment,Male,110572
3030,Bengaluru,2014-10-29,Signature,Grocery,Male,61100
3031,Delhi,2014-09-02,Gold,Fuel,Female,171080
3032,Bengaluru,2013-11-27,Platinum,Entertainment,Male,223697
3033,Ahmedabad,2013-12-15,Gold,Fuel,Female,296794
3034,Bengaluru,2014-04-10,Signature,Bills,Male,98975
3035,Delhi,2014-03-17,Platinum,Grocery,Female,251448
3036,Delhi,2014-09-10,Silver,Fuel,Female,282223
3037,Delhi,2014-04-29,Gold,Grocery,Male,141734
3038,Delhi,2014-10-27,Silver,Food,Female,108932
3039,Ahmedabad,2013-12-24,Silver,Fuel,Male,148086
3040,Bengaluru,2015-04-23,Silver,Bills,Female,236485
3041,Greater Mumbai,2014-07-15,Signature,Entertainment,Female,129447
3042,Greater Mumbai,2014-09-13,Signature,Grocery,Male,76106
3043,Delhi,2015-04-10,Silver,Food,Male,297484
3044,Greater Mumbai,2015-04-05,Platinum,Bills,Female,34460
3045,Greater Mumbai,2015-02-26,Silver,Bills,Female,216720
3046,Bengaluru,2013-11-28,Gold,Grocery,Male,192116
3047,Bengaluru,2014-10-09,Gold,Fuel,Male,286058
3048,Bengaluru,2015-03-12,Signature,Fuel,Male,260290
3049,Ahmedabad,2014-04-08,Silver,Food,Female,43471
3050,Greater Mumbai,2014-12-08,Gold,Food,Female,103785
3051,Greater Mumbai,2014-08-04,Platinum,Entertainment,Female,70775
3052,Ahmedabad,2015-04-25,Gold,Entertainment,Male,79105
3053,Delhi,2015-03-14,Gold,Food,Male,165180
3054,Ahmedabad,2014-09-14,Signature,Entertainment,Female,102263
3055,Bengaluru,2014-04-30,Silver,Bills,Male,144188
3056,Ahmedabad,2015-04-07,Platinum,Entertainment,Male,104261
3057,Greater Mumbai,2014-09-15,Platinum,Fuel,Female,168517
3058,Bengaluru,2014-02-01,Gold,Entertainment,Female,65425
3059,Ahmedabad,2014-08-31,Silver,Fuel,Female,100298
3060,Bengaluru,2013-10-17,Gold,Food,Female,51857
3061,Bengaluru,2014-08-27,Platinum,Fuel,Male,235755
3062,Greater Mumbai,2014-08-05,Gold,Grocery,Male,290078
3063,Delhi,2014-11-07,Silver,Entertainment,Male,182882
3064,Delhi,2014-02-25,Platinum,Fuel,Female,203910
3065,Ahmedabad,2015-04-13,Silver,Fuel,Male,208660
3066,Ahmedabad,2014-09-08,Gold,Entertainment,Female,155187
3067,Ahmedabad,2015-01-23,Platinum,Entertainment,Female,203780
3068,Bengaluru,2015-03-03,Gold,Bills,Male,274151
3069,Ahmedabad,2015-03-18,Gold,Food,Male,55735
3070,Greater Mumbai,2014-06-05,Platinum,Grocery,Female,280705
3071,Bengaluru,2014-07-19,Signature,Entertainment,Female,163874
3072,Bengaluru,2015-04-30,Gold,Fuel,Male,7928
3073,Ahmedabad,2015-03-07,Silver,Bills,Female,169317
3074,Bengaluru,2014-11-14,Silver,Food,Male,121010
3075,Greater Mumbai,2015-04-18,Silver,Entertainment,Male,141940
3076,Ahmedabad,2014-10-10,Platinum,Fuel,Male,20658
3077,Greater Mumbai,2013-12-14,Silver,Food,Male,245540
3078,Bengaluru,2013-12-05,Platinum,Entertainment,Female,171962
3079,Greater Mumbai,2014-12-30,Gold,Grocery,Male,17598
3080,Greater Mumbai,2014-01-02,Gold,Grocery,Female,208778
3081,Greater Mumbai,2013-11-28,Gold,Food,Female,210491
3082,Greater Mumbai,2014-06-17,Silver,Grocery,Female,124712
3083,Greater Mumbai,2015-03-21,Signature,Bills,Female,240475
3084,Delhi,2014-03-12,Signature,Fuel,Male,239028
3085,Ahmedabad,2014-11-28,Gold,Entertainment,Male,35621
3086,Bengaluru,2014-01-26,Gold,Food,Female,48182
3087,Delhi,2014-12-06,Silver,Grocery,Male,78975
3088,Greater Mumbai,2014-02-22,Platinum,Bills,Male,25797
3089,Greater Mumbai,2014-11-15,Signature,Bills,Female,50519
3090,Bengaluru,2013-11-17,Platinum,Entertainment,Female,88709
3091,Bengaluru,2014-02-07,Platinum,Entertainment,Female,150389
3092,Bengaluru,2014-08-24,Gold,Fuel,Female,41880
3093,Ahmedabad,2015-01-09,Signature,Entertainment,Male,161240
3094,Greater Mumbai,2014-12-29,Gold,Food,Male,90008
3095,Bengaluru,2013-11-19,Silver,Entertainment,Female,26157
3096,Ahmedabad,2014-07-14,Platinum,Bills,Female,142175
3097,Bengaluru,2015-04-08,Gold,Grocery,Male,49381
3098,Bengaluru,2014-01-23,Gold,Entertainment,Female,25016
3099,Ahmedabad,2014-08-15,Silver,Bills,Male,66409
3100,Ahmedabad,2014-12-28,Silver,Entertainment,Female,251092
3101,Greater Mumbai,2014-08-25,Silver,Grocery,Male,110820
3102,Greater Mumbai,2015-04-07,Silver,Bills,Female,6849
3103,Greater Mumbai,2015-05-12,Gold,Fuel,Female,192205
3104,Greater Mumbai,2013-12-05,Silver,Grocery,Male,273180
3105,Delhi,2014-03-02,Signature,Food,Male,43138
3106,Ahmedabad,2013-12-10,Gold,Food,Female,216876
3107,Delhi,2014-08-10,Silver,Grocery,Female,235080
